path	line	function	kind	detail
devtools/bug_capture.go	11	CaptureBugBundle	name_prefix	name does not start with approved verb/boolean prefix
devtools/bug_capture.go	22	ExportBugCaptureBundleJSON	name_prefix	name does not start with approved verb/boolean prefix
devtools/bug_capture.go	27	ImportBugCaptureBundleJSON	name_prefix	name does not start with approved verb/boolean prefix
devtools/bug_capture.go	52	ReplayBugCaptureBundle	name_prefix	name does not start with approved verb/boolean prefix
devtools/coordination_state.go	23	InspectCoordination	name_prefix	name does not start with approved verb/boolean prefix
devtools/coordination_state.go	29	cloneCoordination	missing_godoc	function has no GoDoc comment
devtools/coordination_state.go	29	cloneCoordination	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_benchmark_test.go	5	benchmarkBugCaptureBundle	missing_godoc	function has no GoDoc comment
devtools/devtools_benchmark_test.go	5	benchmarkBugCaptureBundle	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_benchmark_test.go	39	BenchmarkSanitizeBugCaptureBundleForSupport	missing_godoc	function has no GoDoc comment
devtools/devtools_benchmark_test.go	39	BenchmarkSanitizeBugCaptureBundleForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_benchmark_test.go	50	BenchmarkExportSupportDiagnosticBundleJSON	missing_godoc	function has no GoDoc comment
devtools/devtools_benchmark_test.go	50	BenchmarkExportSupportDiagnosticBundleJSON	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_stub.go	9	SnapshotNow	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_stub.go	16	snapshotNowLive	missing_godoc	function has no GoDoc comment
devtools/devtools_stub.go	16	snapshotNowLive	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_stub.go	21	UseSnapshot	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_stub.go	26	Panel	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_stub.go	31	ErrorOverlay	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_test.go	14	TestSnapshotStubsReturnEmptyValuesOnNative	missing_godoc	function has no GoDoc comment
devtools/devtools_test.go	14	TestSnapshotStubsReturnEmptyValuesOnNative	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_test.go	29	TestMultiClientInspectionRoundTripsClonedState	missing_godoc	function has no GoDoc comment
devtools/devtools_test.go	29	TestMultiClientInspectionRoundTripsClonedState	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_test.go	77	TestCompareSnapshotsDetectsChangedSections	missing_godoc	function has no GoDoc comment
devtools/devtools_test.go	77	TestCompareSnapshotsDetectsChangedSections	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_test.go	147	TestSerializationBoundaryInspectionRoundTripsClonedState	missing_godoc	function has no GoDoc comment
